"Código
da
variável",descrição,Tipo ,Descrição
M016,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de atividades esportivas ou artísticas em grupo?",4,Algumas vezes no ano
M016,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de atividades esportivas ou artísticas em grupo?",5,Uma vez no ano
M016,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de atividades esportivas ou artísticas em grupo?",6,Nenhuma vez
M016,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de atividades esportivas ou artísticas em grupo?",,Não aplicável
M018,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de trabalho voluntário não remunerado?",1,Mais de uma vez por semana
M018,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de trabalho voluntário não remunerado?",2,Uma vez por semana
M018,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de trabalho voluntário não remunerado?",3,De 2 a 3 vezes por mês
M018,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de trabalho voluntário não remunerado?",4,Algumas vezes no ano
M018,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de trabalho voluntário não remunerado?",5,Uma vez no ano
M018,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de trabalho voluntário não remunerado?",6,Nenhuma vez
M018,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de trabalho voluntário não remunerado?",,Não aplicável
M019,"Nos últimos 12 meses, com que frequência o(a) Sr(a) compareceu a cultos ou atividades da sua religião ou de outra religião? (sem contar com situações como casamento, batizado, ou enterro)",1,Mais de uma vez por semana
M019,"Nos últimos 12 meses, com que frequência o(a) Sr(a) compareceu a cultos ou atividades da sua religião ou de outra religião? (sem contar com situações como casamento, batizado, ou enterro)",2,Uma vez por semana
M019,"Nos últimos 12 meses, com que frequência o(a) Sr(a) compareceu a cultos ou atividades da sua religião ou de outra religião? (sem contar com situações como casamento, batizado, ou enterro)",3,De 2 a 3 vezes por mês
M019,"Nos últimos 12 meses, com que frequência o(a) Sr(a) compareceu a cultos ou atividades da sua religião ou de outra religião? (sem contar com situações como casamento, batizado, ou enterro)",4,Algumas vezes no ano
M019,"Nos últimos 12 meses, com que frequência o(a) Sr(a) compareceu a cultos ou atividades da sua religião ou de outra religião? (sem contar com situações como casamento, batizado, ou enterro)",5,Uma vez no ano
M019,"Nos últimos 12 meses, com que frequência o(a) Sr(a) compareceu a cultos ou atividades da sua religião ou de outra religião? (sem contar com situações como casamento, batizado, ou enterro)",6,Nenhuma vez
M019,"Nos últimos 12 meses, com que frequência o(a) Sr(a) compareceu a cultos ou atividades da sua religião ou de outra religião? (sem contar com situações como casamento, batizado, ou enterro)",,Não aplicável
M019,"Nos últimos 12 meses, com que frequência o(a) Sr(a) compareceu a cultos ou atividades da sua religião ou de outra religião? (sem contar com situações como casamento, batizado, ou enterro)",,Não aplicável
N010,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas no sono, como dificuldade para adormecer, acordar frequentemente à noite ou dormir mais do que de costume?",1,Nenhum dia
N010,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas no sono, como dificuldade para adormecer, acordar frequentemente à noite ou dormir mais do que de costume?",2,Menos da metade dos dias
N010,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas no sono, como dificuldade para adormecer, acordar frequentemente à noite ou dormir mais do que de costume?",3,Mais da metade dos dias 
N010,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas no sono, como dificuldade para adormecer, acordar frequentemente à noite ou dormir mais do que de costume?",4,Quase todos os dias
N010,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas no sono, como dificuldade para adormecer, acordar frequentemente à noite ou dormir mais do que de costume?",,Não aplicável
N011,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas por não se sentir descansado(a) e disposto(a) durante o dia, sentindo-se cansado(a), sem ter energia? ",1,Nenhum dia
N011,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas por não se sentir descansado(a) e disposto(a) durante o dia, sentindo-se cansado(a), sem ter energia? ",2,Menos da metade dos dias
N011,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas por não se sentir descansado(a) e disposto(a) durante o dia, sentindo-se cansado(a), sem ter energia? ",3,Mais da metade dos dias 
N011,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas por não se sentir descansado(a) e disposto(a) durante o dia, sentindo-se cansado(a), sem ter energia? ",4,Quase todos os dias
N011,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas por não se sentir descansado(a) e disposto(a) durante o dia, sentindo-se cansado(a), sem ter energia? ",,Não aplicável
N012,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve pouco interesse ou não senitiu prazer em fazer as coisas? ",1,Nenhum dia
N012,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve pouco interesse ou não senitiu prazer em fazer as coisas? ",2,Menos da metade dos dias
N012,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve pouco interesse ou não senitiu prazer em fazer as coisas? ",3,Mais da metade dos dias 
N012,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve pouco interesse ou não senitiu prazer em fazer as coisas? ",4,Quase todos os dias
N012,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve pouco interesse ou não senitiu prazer em fazer as coisas? ",,Não aplicável
N013,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas para se concentrar nas suas atividades habituais? ",1, Nenhum dia
N013,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas para se concentrar nas suas atividades habituais? ",2,Menos da metade dos dias
N013,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas para se concentrar nas suas atividades habituais? ",3,Mais da metade dos dias
N013,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas para se concentrar nas suas atividades habituais? ",4,Quase todos dias
N013,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas para se concentrar nas suas atividades habituais? ",,Não aplicável
N014,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas na alimentação, como ter falta de apetite ou comer muito mais do que de costume?",1, Nenhum dia
N014,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas na alimentação, como ter falta de apetite ou comer muito mais do que de costume?",2,Menos da metade dos dias
N014,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas na alimentação, como ter falta de apetite ou comer muito mais do que de costume?",3,Mais da metade dos dias
N014,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas na alimentação, como ter falta de apetite ou comer muito mais do que de costume?",4,Quase todos dias
N014,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas na alimentação, como ter falta de apetite ou comer muito mais do que de costume?",,Não aplicável
N015,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve lentidão para se movimentar ou falar, ou ao contrário ficou muito agitado(a) ou inquieto(a)?",1, Nenhum dia
N015,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve lentidão para se movimentar ou falar, ou ao contrário ficou muito agitado(a) ou inquieto(a)?",2,Menos da metade dos dias
N015,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve lentidão para se movimentar ou falar, ou ao contrário ficou muito agitado(a) ou inquieto(a)?",3,Mais da metade dos dias
N015,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve lentidão para se movimentar ou falar, ou ao contrário ficou muito agitado(a) ou inquieto(a)?",4,Quase todos dias
N015,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve lentidão para se movimentar ou falar, ou ao contrário ficou muito agitado(a) ou inquieto(a)?",,Não aplicável
N016,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu deprimido(a), “pra baixo” ou sem perspectiva?",1, Nenhum dia
N016,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu deprimido(a), “pra baixo” ou sem perspectiva?",2,Menos da metade dos dias
N016,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu deprimido(a), “pra baixo” ou sem perspectiva?",3,Mais da metade dos dias
N016,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu deprimido(a), “pra baixo” ou sem perspectiva?",4,Quase todos dias
N016,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu deprimido(a), “pra baixo” ou sem perspectiva?",,Não aplicável
N017,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu mal consigo mesmo, se achando um fracasso ou achando que decepcionou sua família?",1, Nenhum dia
N017,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu mal consigo mesmo, se achando um fracasso ou achando que decepcionou sua família?",2,Menos da metade dos dias
N017,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu mal consigo mesmo, se achando um fracasso ou achando que decepcionou sua família?",3,Mais da metade dos dias
N017,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu mal consigo mesmo, se achando um fracasso ou achando que decepcionou sua família?",4,Quase todos dias
N017,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu mal consigo mesmo, se achando um fracasso ou achando que decepcionou sua família?",,Não aplicável
N018,"Nas duas últimas semanas, com que frequência o(a) Sr(a) pensou em se ferir de alguma maneira ou achou que seria melhor estar morto?",1, Nenhum dia
N018,"Nas duas últimas semanas, com que frequência o(a) Sr(a) pensou em se ferir de alguma maneira ou achou que seria melhor estar morto?",2,Menos da metade dos dias
N018,"Nas duas últimas semanas, com que frequência o(a) Sr(a) pensou em se ferir de alguma maneira ou achou que seria melhor estar morto?",3,Mais da metade dos dias
N018,"Nas duas últimas semanas, com que frequência o(a) Sr(a) pensou em se ferir de alguma maneira ou achou que seria melhor estar morto?",4,Quase todos dias
N018,"Nas duas últimas semanas, com que frequência o(a) Sr(a) pensou em se ferir de alguma maneira ou achou que seria melhor estar morto?",,Não aplicável
O009,"Nos últimos 12 meses, o(a) Sr(a) se envolveu em algum acidente de trânsito no qual tenha sofrido lesões corporais (ferimentos)?",1,Sim
O009,"Nos últimos 12 meses, o(a) Sr(a) se envolveu em algum acidente de trânsito no qual tenha sofrido lesões corporais (ferimentos)?",2,Não
O009,"Nos últimos 12 meses, o(a) Sr(a) se envolveu em algum acidente de trânsito no qual tenha sofrido lesões corporais (ferimentos)?",,Não aplicável
O00901,"Se sim, quantos?",01 a 99,Não
O00901,"Se sim, quantos?",,Não aplicável
O014,"Para este acidente que considerou mais grave, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola etc.)?",1,Sim
O014,"Para este acidente que considerou mais grave, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola etc.)?",2,Não
O014,"Para este acidente que considerou mais grave, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola etc.)?",,Não aplicável
O019,"Por causa deste acidente de trânsito, o(a) Sr(a) precisou ser internado por 24 horas ou mais?",1,Sim
O019,"Por causa deste acidente de trânsito, o(a) Sr(a) precisou ser internado por 24 horas ou mais?",2,Não
O019,"Por causa deste acidente de trânsito, o(a) Sr(a) precisou ser internado por 24 horas ou mais?",,Não aplicável
O020,O Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente deste acidente de trânsito?,1,Sim
O020,O Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente deste acidente de trânsito?,2,Não
O020,O Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente deste acidente de trânsito?,,Não aplicável
O021,Nos últimos 12 meses o(a) Sr(a) se envolveu em algum acidente de trabalho (sem considerar os acidentes de trânsito)?,1,Sim
O021,Nos últimos 12 meses o(a) Sr(a) se envolveu em algum acidente de trabalho (sem considerar os acidentes de trânsito)?,2,Não
O021,Nos últimos 12 meses o(a) Sr(a) se envolveu em algum acidente de trabalho (sem considerar os acidentes de trânsito)?,3,Não se aplica / Pessoas que não trabalharam nos últimos 12 meses.
O021,Nos últimos 12 meses o(a) Sr(a) se envolveu em algum acidente de trabalho (sem considerar os acidentes de trânsito)?,,Não aplicável
O022,"Para o acidente de trabalho que considerou mais grave, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola, etc.)?",1,Sim
O022,"Para o acidente de trabalho que considerou mais grave, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola, etc.)?",2,Não
O022,"Para o acidente de trabalho que considerou mais grave, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola, etc.)?",,Não aplicável
O023,"Por causa deste acidente de trabalho, o(a) Sr(a) precisou ser internado por 24 horas ou mais?",1,Sim
O023,"Por causa deste acidente de trabalho, o(a) Sr(a) precisou ser internado por 24 horas ou mais?",2,Não
O023,"Por causa deste acidente de trabalho, o(a) Sr(a) precisou ser internado por 24 horas ou mais?",,Não aplicável
O024,O(a) Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente deste acidente de trabalho?,1,Sim
O024,O(a) Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente deste acidente de trabalho?,2,Não
O024,O(a) Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente deste acidente de trabalho?,,Não aplicável
O025,"Nos últimos 12 meses, o(a) Sr(a) sofreu alguma violência ou agressão de pessoa desconhecida (como bandido, policial, assaltante etc.)?",1,Sim
O025,"Nos últimos 12 meses, o(a) Sr(a) sofreu alguma violência ou agressão de pessoa desconhecida (como bandido, policial, assaltante etc.)?",2,Não
O025,"Nos últimos 12 meses, o(a) Sr(a) sofreu alguma violência ou agressão de pessoa desconhecida (como bandido, policial, assaltante etc.)?",,Não aplicável
O027,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",1,Física
O027,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",2,Sexual
O027,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",3,Psicológica
O027,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",4,Outro
O027,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",,Não aplicável
O028,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, como (a) sr(a) foi ameaçado(a) ou ferido(a)?",1,"Com arma de fogo (revólver, escopeta, pistola)"
O028,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, como (a) sr(a) foi ameaçado(a) ou ferido(a)?",2,"Com objeto pérfuro-cortante (faca, navalha, punhal, tesoura)"
O028,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, como (a) sr(a) foi ameaçado(a) ou ferido(a)?",3,"Com objeto contundente (pau, cassetete, barra de ferro, pedra)"
O028,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, como (a) sr(a) foi ameaçado(a) ou ferido(a)?",4,"Com força corporal, espancamento (tapa, murro, empurrão)"
O028,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, como (a) sr(a) foi ameaçado(a) ou ferido(a)?",5,"Por meio de palavras ofensivas, xingamentos ou palavrões"
O028,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, como (a) sr(a) foi ameaçado(a) ou ferido(a)?",6,Outro
O028,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, como (a) sr(a) foi ameaçado(a) ou ferido(a)?",,Não aplicável
O029,Onde ocorreu essa violência?,1,Residência
O029,Onde ocorreu essa violência?,2,Trabalho
O029,Onde ocorreu essa violência?,3,Escola/Faculdade ou similar
O029,Onde ocorreu essa violência?,4,Bar ou similar                 
O029,Onde ocorreu essa violência?,5,Via pública
O029,Onde ocorreu essa violência?,6,Banco/Caixa eletrônico/Lotérica
O029,Onde ocorreu essa violência?,7,Outro
O029,Onde ocorreu essa violência?,,Não aplicável
O030,"Nesta ocorrência, a violência foi cometida por:",1,"Bandido, ladrão ou assaltante"
O030,"Nesta ocorrência, a violência foi cometida por:",2,Agente legal público (policial/agente da lei)
O030,"Nesta ocorrência, a violência foi cometida por:",3,Outro
O030,"Nesta ocorrência, a violência foi cometida por:",,Não aplicável
O031,"Por causa dessa violência, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola, etc.)?",1,Sim
O031,"Por causa dessa violência, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola, etc.)?",2,Não
O031,"Por causa dessa violência, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola, etc.)?",,Não aplicável
O032,O(a) Sr(a) teve alguma lesão corporal ou ferimento provocado por essa violência?,1,Sim
O032,O(a) Sr(a) teve alguma lesão corporal ou ferimento provocado por essa violência?,2,Não
O032,O(a) Sr(a) teve alguma lesão corporal ou ferimento provocado por essa violência?,,Não aplicável
O036,O(a) Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente desta violência?,1,Sim
O036,O(a) Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente desta violência?,2,Não
O036,O(a) Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente desta violência?,,Não aplicável
O037,"Nos últimos 12 meses, o(a) Sr(a) sofreu alguma violência ou agressão de pessoa conhecida (como pai, mãe, filho(a), cônjuge, parceiro(a), namorado(a), amigo(a), vizinho(a))?",1,Sim
O037,"Nos últimos 12 meses, o(a) Sr(a) sofreu alguma violência ou agressão de pessoa conhecida (como pai, mãe, filho(a), cônjuge, parceiro(a), namorado(a), amigo(a), vizinho(a))?",2,Não
O037,"Nos últimos 12 meses, o(a) Sr(a) sofreu alguma violência ou agressão de pessoa conhecida (como pai, mãe, filho(a), cônjuge, parceiro(a), namorado(a), amigo(a), vizinho(a))?",,Não aplicável
O039,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa conhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",1,Física 
O039,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa conhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",2,Sexual
O039,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa conhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",3,Psicológica
O039,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa conhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",4,Outra 
O039,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa conhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",,Não aplicável
