"Código
da
variável",descrição,percentage_nans
N015,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve lentidão para se movimentar ou falar, ou ao contrário ficou muito agitado(a) ou inquieto(a)?",0.0
N016,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu deprimido(a), “pra baixo” ou sem perspectiva?",0.0
N017,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu mal consigo mesmo, se achando um fracasso ou achando que decepcionou sua família?",0.0
N018,"Nas duas últimas semanas, com que frequência o(a) Sr(a) pensou em se ferir de alguma maneira ou achou que seria melhor estar morto?",0.0
O009,"Nos últimos 12 meses, o(a) Sr(a) se envolveu em algum acidente de trânsito no qual tenha sofrido lesões corporais (ferimentos)?",0.0
O00901,"Se sim, quantos?",96.62337662337663
O014,"Para este acidente que considerou mais grave, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola etc.)?",96.62337662337663
O019,"Por causa deste acidente de trânsito, o(a) Sr(a) precisou ser internado por 24 horas ou mais?",98.17001180637544
O020,O Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente deste acidente de trânsito?,98.17001180637544
O021,Nos últimos 12 meses o(a) Sr(a) se envolveu em algum acidente de trabalho (sem considerar os acidentes de trânsito)?,0.0
O022,"Para o acidente de trabalho que considerou mais grave, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola, etc.)?",97.75678866587957
O023,"Por causa deste acidente de trabalho, o(a) Sr(a) precisou ser internado por 24 horas ou mais?",97.75678866587957
O024,O(a) Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente deste acidente de trabalho?,97.75678866587957
O025,"Nos últimos 12 meses, o(a) Sr(a) sofreu alguma violência ou agressão de pessoa desconhecida (como bandido, policial, assaltante etc.)?",0.0
O027,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",95.5608028335301
O028,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, como (a) sr(a) foi ameaçado(a) ou ferido(a)?",95.5608028335301
O029,Onde ocorreu essa violência?,95.5608028335301
O030,"Nesta ocorrência, a violência foi cometida por:",95.5608028335301
O031,"Por causa dessa violência, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola, etc.)?",95.5608028335301
O032,O(a) Sr(a) teve alguma lesão corporal ou ferimento provocado por essa violência?,95.5608028335301
O036,O(a) Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente desta violência?,99.16174734356552
O037,"Nos últimos 12 meses, o(a) Sr(a) sofreu alguma violência ou agressão de pessoa conhecida (como pai, mãe, filho(a), cônjuge, parceiro(a), namorado(a), amigo(a), vizinho(a))?",0.0
O039,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa conhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?",95.04132231404958
O040,"Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa conhecida nos últimos 12 meses, como o(a) Sr(a) foi ameaçado(a) ou ferido(a)?",95.04132231404958
O041,Onde ocorreu esta violência?,95.04132231404958
O042,"Nesta ocorrência, a violência foi cometida por:",95.04132231404958
O043,"Nos últimos 12 meses, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola etc.) por causa desta violência?",95.04132231404958
O044,O(a) Sr(a) teve alguma lesão corporal ou ferimento provocado por essa violência?,95.04132231404958
O048,O(a) Sr(a) teve ou tem alguma sequela e/ou incapacidade decorrente desta violência?,98.8193624557261
P006,Em quantos dias da semana o(a) costuma comer feijão? (0 =  Nunca ou menos de uma vez por semana),0.0
P007,"Em quantos dias da semana, o(a) Sr(a) costuma comer salada de alface e tomate ou salada de qualquer outra verdura ou legume cru? (0 =  Nunca ou menos de uma vez por semana)",0.0
P008,"Em geral, quantas vezes por dia o(a) Sr(a) come este tipo de salada?",13.754427390791028
P009,"Em quantos dias da semana, o(a) Sr(a) costuma comer verdura ou legume cozido, como couve, cenoura, chuchu, berinjela, abobrinha? (sem contar batata, mandioca ou inhame) (0 = Nunca ou menos de uma vez por semana)",0.0
P010,"Em geral, quantas vezes por dia o(a) Sr(a) come verdura ou legume cozido? ",16.198347107438018
P011,"Em quantos dias da semana o(a) Sr(a) costuma comer carne vermelha (boi, porco, cabrito)? (0 = Nunca ou menos de uma vez por semana)",0.0
P012,"Quando o(a) Sr(a) come carne vermelha, o(a) Sr(a)costuma:",7.154663518299882
P013,Em quantos dias da semana o(a) Sr(a) costuma comer frango/galinha? (0 = Nunca ou menos de uma vez por semana),0.0
P014,"Quando o(a) Sr(a)come frango/galinha, o(a) Sr(a) costuma:",7.68595041322314
P015,Em quantos dias da semana o(a) Sr(a) costuma comer peixe? (0 = Nunca ou menos de uma vez por semana),0.0
P016,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de frutas natural? (0 = Nunca ou menos de uma vez por semana),0.0
P017,"Em geral, quantos copos por dia o(a) Sr(a) toma de suco de frutas natural?",32.786304604486425
P018,Em quantos dias da semana o(a) Sr(a) costuma comer frutas? (0 = Nunca ou menos de uma vez por semana),0.0
P019,"Em geral, quantas vezes por dia o(a) Sr(a) come frutas?",12.739079102715467
P021,Que tipo de refrigerante ou suco artificial o(a) Sr(a) costuma tomar?,34.23848878394333
P023,Em quantos dias da semana o(a) Sr(a) costuma tomar leite? (não vale leite de soja) (0 = Nunca ou menos de uma vez por semana),0.0
P024,"Quando o(a) Sr(a) toma leite, que tipo de leite costuma tomar?",27.54427390791027
P025,"Em quantos dias da semana o(a) Sr(a) come alimentos doces, tais como pedaços de bolo ou torta, doces, chocolates, balas, biscoitos ou bolachas doces? (0 = Nunca ou menos de uma vez por semana)",0.0
P026,"Em quantos dias da semana o(a) Sr(a) substitui a refeição do almoço ou jantar por sanduiches, salgados ou pizzas?  (0 = Nunca ou menos de uma vez por semana)",0.0
P02601,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é: ",0.0
P027,Com que frequência o(a) Sr(a) costuma consumir alguma bebida alcoólica?,0.0
P028,Quantos dias por semana o(a) Sr(a) costuma tomar alguma bebida alcoólica? (0 = Nunca ou menos de uma vez por semana),78.28807556080284
P029,"Em geral, no dia que o(a) Sr(a) bebe, quantas doses de bebida alcoólica o(a) Sr(a) consome? (1 dose de bebida alcoólica equivale a 1 lata de cerveja, 1 taça de vinho ou 1 dose de cachaça, whisky ou qualquer outra bebida alcoólica destilada)",78.28807556080284
P031,Quantos anos o(a) Sr(a) tinha quando começou a consumir bebidas alcoólicas?,78.28807556080284
P032,"Se homem: Nos últimos 30 dias, o Sr chegou a consumir 5 ou mais doses de bebida alcoólica em uma única ocasião? Ou Se mulher: Nos últimos 30 dias, a Sra chegou a consumir  4 ou mais doses de bebida alcoólica em uma única ocasião?",78.28807556080284
P033,Em quantos dias do mês isto ocorreu?,88.72491145218417
P034,"Nos últimos três meses, o(a) Sr(a) praticou algum tipo de exercício físico ou esporte? (não considere fisioterapia)",0.0
P035,Quantos dias por semana o(a) Sr(a) costuma praticar exercício físico ou  esporte? (0 = Nunca ou menos de uma vez por semana),70.4840613931523
P036,Qual o exercício físico ou esporte que o(a) Sr(a) pratica com mais frequência?,71.42857142857143
P03701,"Em geral, no dia que o(a) Sr(a) pratica exercício ou esporte, quantas horas dura esta atividade?",71.42857142857143
P03702,"Em geral, no dia que o(a) Sr(a) pratica exercício ou esporte, quantos minutos dura esta atividade?",71.42857142857143
P038,"No seu trabalho, o(a) Sr(a) anda bastante a pé?",44.56906729634002
P039,"No seu trabalho, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso?",44.56906729634002
P03901,"Em uma semana normal, em quantos dias o(a) Sr(a) faz essas atividades no seu trabalho?",85.91499409681228
P03902,Quantas horas o(a) Sr(a) passa realizando atividades físicas pesadas em um dia normal de trabalho? ,85.91499409681228
P03903,Quantos minutos o(a) Sr(a) passa realizando atividades físicas pesadas em um dia normal de trabalho? ,85.91499409681228
P040,"Para ir ou voltar do trabalho, o(a) Sr(a) faz algum trajeto a pé ou de bicicleta?",44.56906729634002
P04101,"Quantas horas o(a) Sr(a) gasta para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?",76.88311688311688
P04102,"Quantos minutos o(a) Sr(a) gasta para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?",76.88311688311688
P042,"Nas suas atividades habituais (tais como ir, ou levar alguém, a algum curso, escola ou clube), quantos dias por semana o(a) Sr(a) faz alguma atividade que envolva deslocamento a pé ou bicicleta? (0 = Nunca ou menos de uma vez por semana)",0.0
P04301,"No dia que o(a) Sr(a) faz esta atividade, quantas horas o(a) Sr(a) gasta no deslocamento a pé ou de   bicicleta, considerando a ida e a volta?",62.72727272727273
P04302,"No dia que o(a) Sr(a) faz esta atividade, quantos minutos o(a) Sr(a) gasta no deslocamento a pé ou de   bicicleta, considerando a ida e a volta?",62.72727272727273
P045,"Em média, quantas horas por dia o(a) Sr(a) costuma ficar assistindo televisão?",0.0
P050,"Atualmente, o(a) Sr(a) fuma algum produto do tabaco?",0.0
P051,"E no passado, o(a) Sr(a) fumou algum produto do tabaco diariamente?",97.88665879574971
P052,"E no passado, o(a) Sr(a) fumou algum produto do tabaco?",15.91499409681228
P05401,"Em média, com que frequência o(a) Sr(a) fuma cigarros industrializados?",84.08500590318772
P05404,"Em média, com que frequência o(a) Sr(a) fuma cigarros de palha ou enrolados a mão?",84.08500590318772
P05407,"Em média, com que frequência o(a) Sr(a) fuma cigarros cigarros de cravo ou de Bali?",84.08500590318772
P055,Quanto tempo depois de acordar o(a) Sr(a) normalmente fuma pela primeira vez?,86.19834710743801
P058,"Em média, quantos cigarros industrializados o Sr.(a) fumava por dia ou por semana?",80.22432113341205
P05801,Especifique número de dias (P058),84.54545454545455
P05802,Especifique número de semanas (P058),97.98110979929162
P05901,Há quantos anos o(a) Sr(a) parou de fumar?,80.22432113341205
P05902,Há quantos meses o(a) Sr(a) parou de fumar?,80.22432113341205
P05903,Há quantos semanas o(a) Sr(a) parou de fumar?,80.22432113341205
P05904,Há quantos dias o(a) Sr(a) parou de fumar?,80.22432113341205
P068,Com que frequência alguém fuma dentro do seu domicílio?,0.0
Q002,Algum médico já lhe deu o diagnóstico de hipertensão arterial (pressão alta)?,1.8181818181818181
Q030,Algum médico já lhe deu o diagnóstico de diabetes?,8.583234946871311
Q05501,O(a) Sr(a) tem ou teve problemas na vista por causa do diabetes?,92.72727272727273
Q05502,O(a) Sr(a) tem ou teve infarto por causa do diabetes?,92.72727272727273
Q05503,O(a) Sr(a) tem ou teve AVC (Acidente Vascular cerebral) ou derrame por causa do diabetes?,92.72727272727273
Q05504,O(a) Sr(a) tem ou teve outro problema circulatório por causa do diabetes?,92.72727272727273
Q05505,O(a) Sr(a) tem ou teve problemas problema nos rins por causa do diabetes?,92.72727272727273
Q05506,O(a) Sr(a) tem ou teve Úlcera/ferida nos pés por causa do diabetes?,92.72727272727273
Q05507,"O(a) Sr(a) tem ou teve que fazer amputação de pés, pernas, mãos ou braços por causa do diabetes ?",92.72727272727273
Q05508,O(a) Sr(a) tem ou teve coma diabético por causa do diabetes?,92.72727272727273
Q05509,Outro,92.72727272727273
Q063,"Algum médico já lhe deu o diagnóstico de uma doença do coração tais como infarto, angina, insuficiência cardiaca ou outra?",0.0
Q068,Algum médico já lhe deu o diagnóstico de AVC (Acidente Vascular Cerebral) ou derrame?,0.0
Q079,Algum médico já lhe deu o diagnóstico de artrite ou reumatismo? ,0.0
Q084,"O(a) Sr(a) tem algum problema crônico de coluna, como dor crônica nas costas ou no pescoço, lombalgia, dor ciática, problemas nas vértebras ou disco? ",0.0
Q092,Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de depressão?,0.0
Q11001,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como esquizofrenia?",96.23376623376623
Q11002,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como transtorno bipolar?",96.23376623376623
Q11003,"Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental, como psicose ou TOC (Transtorno obsessivo compulsivo)?",96.23376623376623
Q11004,Algum médico ou profissional de saúde mental (como psiquiatra ou psicólogo) já lhe deu o diagnóstico de outra doença mental?,96.23376623376623
Q116,"Algum médico já lhe deu o diagnóstico de alguma doença no pulmão ou DPOC (Doença Pulmonar Obstrutiva Crônica), tais como  enfisema pulmonar, bronquite crônica ou outro?",0.0
Q120,Algum médico já lhe deu diagnóstico de câncer? ,0.0
Q124,Algum médico já lhe deu o diagnóstico de insuficiência renal crônica? ,0.0
Q132,"Nas últimas duas semanas, o(a) Sr(a) fez uso de algum medicamento para dormir? ",0.0
R041,A Sra já teve algum aborto espontâneo?,68.01652892561984
R042,A Sra já teve algum aborto provocado?,68.01652892561984
VDD004,Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) -  SISTEMA DE 8 ANOS,0.0
